#,Ditch,station,date,time,temp,bp,light,Rep1N2toArMeasured,Rep2N2toArMeasured,Rep3N2toArMeasured,Rep1O2toArMeasured,Rep2O2toArMeasured,Rep3O2toArMeasured,n2:ar,z
1,2,down1,6/19/2018,11:00:00,31.04,755.9,1845.484371,38.56438002,38.57632629,38.54653004,14.4190849,14.34991556,14.23615791,38.56241212,0.5588
2,2,down1,6/19/2018,12:00:00,33.1,755.6,2058.421506,38.37291491,38.35689384,38.36987831,16.27041265,16.39932733,16.36454811,38.36656235,0.5588
3,2,down1,6/19/2018,13:00:00,34.78,755,2012.785863,38.29357524,38.25053748,37.59399915,17.93325299,17.80656294,17.81396156,38.04603729,0.5588
4,2,down1,6/19/2018,14:00:00,35.56,754.5,2170.495988,38.10736187,38.14369216,38.13567717,18.88875219,18.86512666,18.81659258,38.1289104,0.5588
5,2,down1,6/19/2018,15:00:00,35.82,753.9,1772.476102,38.11521815,38.13612931,38.11381736,19.84210407,19.68690876,19.75829922,38.12172161,0.5588
6,2,down1,6/19/2018,16:00:00,35.9,753.3,1675.029551,38.05294008,38.05046369,38.02788382,20.84920477,20.85352601,20.746115,38.04376253,0.5588
7,2,down1,6/19/2018,17:00:00,35.64,753,1342.528784,37.97743706,37.53586762,37.95030529,21.53967187,21.4067644,21.41406739,37.82120332,0.5588
8,2,down1,6/19/2018,18:00:00,34.84,752.7,810.7552962,38.07108137,38.08680604,37.55302037,21.16396728,21.22262806,20.93733642,37.90363593,0.5588
9,2,down1,6/19/2018,19:00:00,33.24,752.7,318.0480208,38.31560072,38.28328074,38.27003966,18.16527533,18.12202972,18.08989585,38.28964037,0.5588
10,2,down1,6/19/2018,20:00:00,31.4,752.6,77.82585141,38.51170868,38.53173784,37.36803555,15.67799687,15.71562933,15.96842999,38.13716069,0.5588
11,2,down1,6/19/2018,21:00:00,29.78,752.5,0.043796202,38.8548904,38.88393017,38.88506027,12.47247361,12.47062538,12.47918204,38.87462695,0.5588
12,2,down1,6/19/2018,22:00:00,28.5,752.7,0,39.04247067,39.02282052,39.06987487,11.83821349,11.87156925,11.88091009,39.04505535,0.5588
13,2,down1,6/19/2018,23:00:00,27.48,752.9,0,39.25302152,39.2262694,39.25727866,11.09022276,10.87515527,10.84534962,39.24552319,0.5588
