#,Ditch,station,date,time,temp,bp,light,Rep1N2toArMeasured,Rep2N2toArMeasured,Rep3N2toArMeasured,Rep1O2toArMeasured,Rep2O2toArMeasured,Rep3O2toArMeasured,n2:ar,z
13,2,down1,6/19/2018,23:00:00,27.48,752.9,0,39.25302152,39.2262694,39.25727866,11.09022276,10.87515527,10.84534962,39.24552319,0.5588
14,2,down1,6/20/2018,0:00:00,26.86,752.8,0,39.38743652,39.3693753,39.40495704,10.23320159,10.1257247,10.02954697,39.38725629,0.5588
15,2,down1,6/20/2018,1:00:00,26.38,752.7,0,39.66448082,39.66581685,39.6756982,8.165379198,7.848868174,8.040184043,39.66866529,0.5588
16,2,down1,6/20/2018,2:00:00,26.06,752.5,0,39.66302204,39.68300897,39.66950652,9.781958646,9.992206714,9.78494356,39.67184584,0.5588
17,2,down1,6/20/2018,3:00:00,25.9,752.5,0,39.73030349,39.749064,39.73632542,9.480039033,9.615640282,9.720766797,39.7385643,0.5588
18,2,down1,6/20/2018,4:00:00,25.86,752.5,0,39.92256418,39.87511325,39.85223771,8.892595502,8.803418224,8.779595451,39.88330505,0.5588
19,2,down1,6/20/2018,5:00:00,25.86,752.2,0,39.84236808,40.68645087,39.89449649,7.851011649,7.99446803,7.940233289,40.14110515,0.5588
20,2,down1,6/20/2018,6:00:00,25.88,752.8,7.138780968,39.68125424,39.71631856,39.63311789,8.345685994,8.31120396,8.493479339,39.6768969,0.5588
21,2,down1,6/20/2018,7:00:00,26.02,752.8,51.19776044,39.63035378,39.63430721,39.68274283,8.929968283,8.791034535,8.710907077,39.64913461,0.5588
22,2,down1,6/20/2018,8:00:00,26.16,753,124.8629726,39.48045007,39.56114045,39.59461977,9.364585322,9.176505529,9.048928371,39.54540343,0.5588
23,2,down1,6/20/2018,9:00:00,26.42,753.2,277.5803299,39.31502525,39.32183659,39.33601712,10.81400179,10.64380696,10.88075883,39.32429299,0.5588
24,2,down1,6/20/2018,10:00:00,27.04,753,620.2856126,39.07038028,39.08303565,39.28549209,14.29760761,14.24850117,14.33959751,39.14630267,0.5588
