#,Ditch,station,date,time,temp,oxy,light,bp,z
1,7,up1,6/19/2018,19:30:00,30.98,12.52,234.3972745,752.8,0.53594
2,7,up1,6/19/2018,19:45:00,30.8,11.69,149.5640307,752.7,0.53594
3,7,up1,6/19/2018,20:00:00,30.68,11.31,77.82585141,752.6,0.53594
4,7,up1,6/19/2018,20:15:00,30.48,11.21,36.43844028,752.5,0.53594
5,7,up1,6/19/2018,20:30:00,30.46,10.87,12.52571385,752.5,0.53594
6,7,up1,6/19/2018,20:45:00,30.36,10.86,1.445274674,752.5,0.53594
7,7,up1,6/19/2018,21:00:00,30.28,10.54,0.043796202,752.5,0.53594
8,7,up1,6/19/2018,21:15:00,30.04,10.45,0,752.7,0.53594
9,7,up1,6/19/2018,21:30:00,30.08,10.48,0,752.8,0.53594
10,7,up1,6/19/2018,21:45:00,30,10.44,0,752.7,0.53594
11,7,up1,6/19/2018,22:00:00,29.88,10.39,0,752.7,0.53594
12,7,up1,6/19/2018,22:15:00,29.76,10.03,0,752.8,0.53594
13,7,up1,6/19/2018,22:30:00,29.66,10.11,0,752.8,0.53594
14,7,up1,6/19/2018,22:45:00,29.58,9.83,0,752.9,0.53594
15,7,up1,6/19/2018,23:00:00,29.46,9.86,0,752.9,0.53594
16,7,up1,6/19/2018,23:15:00,29.28,9.61,0,752.9,0.53594
17,7,up1,6/19/2018,23:30:00,29.32,9.8,0,752.8,0.53594
18,7,up1,6/19/2018,23:45:00,29.22,9.43,0,752.8,0.53594
19,7,up1,6/20/2018,0:00:00,29.14,9.33,0,752.8,0.53594
20,7,up1,6/20/2018,0:15:00,29.06,9.92,0,752.8,0.53594
21,7,up1,6/20/2018,0:30:00,28.98,9.15,0,752.8,0.53594
22,7,up1,6/20/2018,0:45:00,28.9,9.03,0,752.7,0.53594
23,7,up1,6/20/2018,1:00:00,28.78,8.93,0,752.7,0.53594
24,7,up1,6/20/2018,1:15:00,28.64,9.32,0,752.6,0.53594
25,7,up1,6/20/2018,1:30:00,28.62,8.53,0,752.5,0.53594
26,7,up1,6/20/2018,1:45:00,28.5,8.36,0,752.5,0.53594
27,7,up1,6/20/2018,2:00:00,28.42,8.18,0,752.5,0.53594
28,7,up1,6/20/2018,2:15:00,28.32,8.61,0,752.5,0.53594
29,7,up1,6/20/2018,2:30:00,28.26,8.18,0,752.5,0.53594
30,7,up1,6/20/2018,2:45:00,28.18,7.84,0,752.5,0.53594
31,7,up1,6/20/2018,3:00:00,28.1,7.72,0,752.5,0.53594
32,7,up1,6/20/2018,3:15:00,28,8.05,0,752.4,0.53594
33,7,up1,6/20/2018,3:30:00,27.96,7.58,0,752.4,0.53594
34,7,up1,6/20/2018,3:45:00,27.9,7.34,0,752.4,0.53594
35,7,up1,6/20/2018,4:00:00,27.84,7.31,0,752.5,0.53594
36,7,up1,6/20/2018,4:15:00,27.76,7.37,0,752.3,0.53594
37,7,up1,6/20/2018,4:30:00,27.72,7.29,0,752.2,0.53594
38,7,up1,6/20/2018,4:45:00,27.66,7.06,0,752.2,0.53594
39,7,up1,6/20/2018,5:00:00,27.58,6.97,0,752.2,0.53594
40,7,up1,6/20/2018,5:15:00,27.5,6.62,0,752.2,0.53594
41,7,up1,6/20/2018,5:30:00,27.44,6.77,0.043796202,752.4,0.53594
42,7,up1,6/20/2018,5:45:00,27.38,6.6,2.102217708,752.8,0.53594
43,7,up1,6/20/2018,6:00:00,27.3,6.53,7.138780968,752.8,0.53594
44,7,up1,6/20/2018,6:15:00,27.24,6.61,20.01486443,752.8,0.53594
45,7,up1,6/20/2018,6:30:00,27.2,6.5,45.11008832,752.7,0.53594
46,7,up1,6/20/2018,6:45:00,27.16,6.42,55.79636167,752.8,0.53594
47,7,up1,6/20/2018,7:00:00,27.12,6.34,51.19776044,752.8,0.53594
48,7,up1,6/20/2018,7:15:00,27.1,6.26,105.5926436,753,0.53594
49,7,up1,6/20/2018,7:30:00,27.08,6.33,129.7681473,753.1,0.53594
50,7,up1,6/20/2018,7:45:00,27.02,6.25,91.53406272,753,0.53594
51,7,up1,6/20/2018,8:00:00,27.04,6.26,124.8629726,753,0.53594
52,7,up1,6/20/2018,8:15:00,27.02,6.35,175.7979559,753,0.53594
53,7,up1,6/20/2018,8:30:00,26.96,6.33,173.1263875,753,0.53594
54,7,up1,6/20/2018,8:45:00,26.98,6.49,217.6671252,753.1,0.53594
