#,Ditch,station,date,time,temp,n2:ar,light,bp,z
1,2,up1,6/19/2018,11:00:00,29.54,37.9785,1845.48,755.9,0.56
2,2,up1,6/19/2018,12:00:00,29.92,37.8928,2058.42,755.6,0.56
3,2,up1,6/19/2018,13:00:00,30.28,37.8146,2012.79,755,0.56
4,2,up1,6/19/2018,14:00:00,30.7,37.7132,2170.5,754.5,0.56
5,2,up1,6/19/2018,15:00:00,30.92,37.5767,1772.48,753.9,0.56
6,2,up1,6/19/2018,16:00:00,31.32,37.4607,1675.03,753.3,0.56
7,2,up1,6/19/2018,17:00:00,31.44,37.3635,1342.53,753,0.56
8,2,up1,6/19/2018,18:00:00,31.26,37.2032,810.76,752.7,0.56
9,2,up1,6/19/2018,19:00:00,30.84,37.2788,318.05,752.7,0.56
10,2,up1,6/19/2018,20:00:00,30.44,37.3755,77.83,752.6,0.56
11,2,up1,6/19/2018,21:00:00,30.12,37.4428,0.04,752.5,0.56
12,2,up1,6/19/2018,22:00:00,29.74,37.6878,0,752.7,0.56
13,2,up1,6/19/2018,23:00:00,29.36,37.7234,0,752.9,0.56
14,2,up1,6/20/2018,0:00:00,29.1,37.6261,0,752.8,0.56
15,2,up1,6/20/2018,1:00:00,28.74,37.9062,0,752.7,0.56
16,2,up1,6/20/2018,2:00:00,28.4,37.6035,0,752.5,0.56
17,2,up1,6/20/2018,3:00:00,28.12,38.0585,0,752.5,0.56
18,2,up1,6/20/2018,4:00:00,27.92,37.6229,0,752.5,0.56
19,2,up1,6/20/2018,5:00:00,27.66,37.6446,0,752.2,0.56
20,2,up1,6/20/2018,6:00:00,27.42,37.8996,7.14,752.8,0.56
21,2,up1,6/20/2018,7:00:00,27.22,37.9067,51.2,752.8,0.56
22,2,up1,6/20/2018,8:00:00,27,37.9682,124.86,753,0.56
23,2,up1,6/20/2018,9:00:00,26.9,37.8864,277.58,753.2,0.56
24,2,up1,6/20/2018,10:00:00,27,37.8881,620.29,753,0.56
25,2,up1,6/20/2018,11:00:00,27.36,37.9188,1099.02,752.8,0.56
26,2,up1,6/20/2018,12:00:00,27.58,37.7997,947.57,752.9,0.56
27,2,up1,6/20/2018,13:00:00,27.86,37.7622,1434.37,752.5,0.56
28,2,up1,6/20/2018,14:00:00,28.14,37.6457,1109.8,752,0.56
29,2,down1,6/19/2018,11:00:00,31.04,38.5624,1845.48,755.9,0.56
30,2,down1,6/19/2018,12:00:00,33.1,38.3666,2058.42,755.6,0.56
31,2,down1,6/19/2018,13:00:00,34.78,38.046,2012.79,755,0.56
32,2,down1,6/19/2018,14:00:00,35.56,38.1289,2170.5,754.5,0.56
33,2,down1,6/19/2018,15:00:00,35.82,38.1217,1772.48,753.9,0.56
34,2,down1,6/19/2018,16:00:00,35.9,38.0438,1675.03,753.3,0.56
35,2,down1,6/19/2018,17:00:00,35.64,37.8212,1342.53,753,0.56
36,2,down1,6/19/2018,18:00:00,34.84,37.9036,810.76,752.7,0.56
37,2,down1,6/19/2018,19:00:00,33.24,38.2896,318.05,752.7,0.56
38,2,down1,6/19/2018,20:00:00,31.4,38.1372,77.83,752.6,0.56
39,2,down1,6/19/2018,21:00:00,29.78,38.8746,0.04,752.5,0.56
40,2,down1,6/19/2018,22:00:00,28.5,39.0451,0,752.7,0.56
41,2,down1,6/19/2018,23:00:00,27.48,39.2455,0,752.9,0.56
42,2,down1,6/20/2018,0:00:00,26.86,39.3873,0,752.8,0.56
43,2,down1,6/20/2018,1:00:00,26.38,39.6687,0,752.7,0.56
44,2,down1,6/20/2018,2:00:00,26.06,39.6718,0,752.5,0.56
45,2,down1,6/20/2018,3:00:00,25.9,39.7386,0,752.5,0.56
46,2,down1,6/20/2018,4:00:00,25.86,39.8833,0,752.5,0.56
47,2,down1,6/20/2018,5:00:00,25.86,40.1411,0,752.2,0.56
48,2,down1,6/20/2018,6:00:00,25.88,39.6769,7.14,752.8,0.56
49,2,down1,6/20/2018,7:00:00,26.02,39.6491,51.2,752.8,0.56
50,2,down1,6/20/2018,8:00:00,26.16,39.5454,124.86,753,0.56
51,2,down1,6/20/2018,9:00:00,26.42,39.3243,277.58,753.2,0.56
52,2,down1,6/20/2018,10:00:00,27.04,39.1463,620.29,753,0.56
53,2,down1,6/20/2018,11:00:00,28.1,38.8831,1099.02,752.8,0.56
54,2,down1,6/20/2018,12:00:00,29.52,38.5051,947.57,752.9,0.56
55,2,down1,6/20/2018,13:00:00,30.32,38.3315,1434.37,752.5,0.56
56,2,down1,6/20/2018,14:00:00,31.26,38.0757,1109.8,752,0.56
