#,Ditch,station,date,time,n2:ar,z,temp,bp,light,K
1,2,down1,6/19/2018,11:00:00,38.56,0.5588,31.04,755.9,1845.484371,5.698074448
2,2,down1,6/19/2018,12:00:00,38.37,0.5588,33.1,755.6,2058.421506,6.029153157
3,2,down1,6/19/2018,13:00:00,38.05,0.5588,34.78,755,2012.785863,6.348630098
4,2,down1,6/19/2018,14:00:00,38.13,0.5588,35.56,754.5,2170.495988,6.518937064
5,2,down1,6/19/2018,15:00:00,38.12,0.5588,35.82,753.9,1772.476102,6.579611761
6,2,down1,6/19/2018,16:00:00,38.04,0.5588,35.9,753.3,1675.029551,6.598714958
7,2,down1,6/19/2018,17:00:00,37.82,0.5588,35.64,753,1342.528784,6.537381817
8,2,down1,6/19/2018,18:00:00,37.9,0.5588,34.84,752.7,810.7552962,6.36115928
9,2,down1,6/19/2018,19:00:00,38.29,0.5588,33.24,752.7,318.0480208,6.053761369
10,2,down1,6/19/2018,20:00:00,38.14,0.5588,31.4,752.6,77.82585141,5.752345523
11,2,down1,6/19/2018,21:00:00,38.87,0.5588,29.78,752.5,0.043796202,5.517170388
12,2,down1,6/19/2018,22:00:00,39.05,0.5588,28.5,752.7,0,5.344736317
13,2,down1,6/19/2018,23:00:00,39.25,0.5588,27.48,752.9,0,5.213366116
14,2,down1,6/20/2018,0:00:00,39.39,0.5588,26.86,752.8,0,5.135543918
15,2,down1,6/20/2018,1:00:00,39.67,0.5588,26.38,752.7,0,5.076171736
16,2,down1,6/20/2018,2:00:00,39.67,0.5588,26.06,752.5,0,5.036967002
17,2,down1,6/20/2018,3:00:00,39.74,0.5588,25.9,752.5,0,5.017468842
18,2,down1,6/20/2018,4:00:00,39.88,0.5588,25.86,752.5,0,5.012604696
19,2,down1,6/20/2018,5:00:00,40.14,0.5588,25.86,752.2,0,5.012604696
20,2,down1,6/20/2018,6:00:00,39.68,0.5588,25.88,752.8,7.138780968,5.015036257
21,2,down1,6/20/2018,7:00:00,39.65,0.5588,26.02,752.8,51.19776044,5.032086143
22,2,down1,6/20/2018,8:00:00,39.55,0.5588,26.16,753,124.8629726,5.049187981
23,2,down1,6/20/2018,9:00:00,39.32,0.5588,26.42,753.2,277.5803299,5.081092733
24,2,down1,6/20/2018,10:00:00,39.15,0.5588,27.04,753,620.2856126,5.157998396
25,2,down1,6/20/2018,11:00:00,38.88308897,0.5588,28.1,752.8,1099.021899,5.292669048
26,2,down1,6/20/2018,12:00:00,38.50505636,0.5588,29.52,752.9,1408.06,5.481336205
27,2,down1,6/20/2018,13:00:00,38.33151976,0.5588,30.32,752.5,1434.36942,5.593129507
28,2,down1,6/20/2018,14:00:00,38.07567321,0.5588,31.26,752,1109.795765,5.7310862
